"id","label"
"PROCEDURE_LEGISLATIVE","Procédure législative"
"PROCEDURE_CENSURE","Procédure de Censure"
"ORGANISATION_SESSION_EXTRAORDINAIRE","Organisation des sessions extraordinaires"
"CONSULTATION_ASSEMBLEE_PROJET_NOMINATION","Consultation des assemblées sur les projets de nomination"
"CONVOCATION_CONGRES","Convocation du congrès au titre de l'article 18 de la constitution"
"DEMANDE_PROLONGATION_INTERVENTION_EXTERIEURE","Demande de prolongation d'une intervention extérieure"
"RESOLUTION_ARTICLE_34_1","Résolution de l'article 34-1 de la constitution"
"DEPOT_RAPPORT_PARLEMENT","Dépôt de rapports au parlement"
"INSERTION_INFORMATION_PARLEMENTAIRE_JO","Insertion d'information parlementaires au JO lois et décrets"
"ORGANISME_EXTRA_PARLEMENTAIRE","Organismes extra-parlementaires"
"DIVERS","Divers"
"REQUETE_LIBRE","Requête libre"
"DECLARATION_DE_POLITIQUE_GENERALE","Déclaration de politique générale"
"DECLARATION_SUR_UN_SUJET_DETERMINE_50_1C","Déclaration sur un sujet déterminé (50-1C)"
"DEMANDE_DE_MISE_EN_OEUVRE_ARTICLE_28_3C","Demande de mise en œuvre de l’article 28-3C"
"DEMANDE_AUDITION_PERSONNES_EMPLOIS_ENVISAGEE","Demandes d’audition des personnes dont la nomination à certains emplois est envisagée"
"AUTRES_DOCUMENTS_TRANSMIS_AUX_ASSEMBLEES","Autres documents transmis aux assemblées"